date,IC4WSA
1998-08-22,313250.0
1998-08-29,309000.0
1998-09-05,308250.0
1998-09-12,307250.0
1998-09-19,308000.0
1998-09-26,304000.0
1998-10-03,301250.0
1998-10-10,304250.0
1998-10-17,307500.0
1998-10-24,311250.0
1998-10-31,312750.0
1998-11-07,312750.0
1998-11-14,316750.0
1998-11-21,315500.0
1998-11-28,316000.0
1998-12-05,318500.0
1998-12-12,311250.0
1998-12-19,309500.0
1998-12-26,316000.0
1999-01-02,317250.0
1999-01-09,327250.0
1999-01-16,337750.0
1999-01-23,331500.0
1999-01-30,325000.0
1999-02-06,311500.0
1999-02-13,304750.0
1999-02-20,302500.0
1999-02-27,301500.0
1999-03-06,303750.0
1999-03-13,302750.0
1999-03-20,303500.0
1999-03-27,302750.0
1999-04-03,305250.0
1999-04-10,308000.0
1999-04-17,310250.0
1999-04-24,308500.0
1999-05-01,305000.0
1999-05-08,302750.0
1999-05-15,299500.0
1999-05-22,301250.0
1999-05-29,303000.0
1999-06-05,301250.0
1999-06-12,298500.0
1999-06-19,297000.0
1999-06-26,294000.0
1999-07-03,290000.0
1999-07-10,289500.0
1999-07-17,293750.0
1999-07-24,297500.0
1999-07-31,300750.0
1999-08-07,302500.0
1999-08-14,298250.0
1999-08-21,293250.0
1999-08-28,290750.0
1999-09-04,289500.0
1999-09-11,286750.0
1999-09-18,285500.0
1999-09-25,289500.0
1999-10-02,294250.0
1999-10-09,296750.0
1999-10-16,298250.0
1999-10-23,291750.0
1999-10-30,285750.0
1999-11-06,283500.0
1999-11-13,282000.0
1999-11-20,281000.0
1999-11-27,281750.0
1999-12-04,283000.0
1999-12-11,280750.0
1999-12-18,283500.0
1999-12-25,278500.0
2000-01-01,278250.0
2000-01-08,284750.0
2000-01-15,285250.0
2000-01-22,289250.0
2000-01-29,289000.0
2000-02-05,292500.0
2000-02-12,295250.0
2000-02-19,295000.0
2000-02-26,293750.0
2000-03-04,287250.0
2000-03-11,279750.0
2000-03-18,276750.0
2000-03-25,274750.0
2000-04-01,269750.0
2000-04-08,269250.0
2000-04-15,266250.0
2000-04-22,266750.0
2000-04-29,273000.0
2000-05-06,279250.0
2000-05-13,283500.0
2000-05-20,285000.0
2000-05-27,282250.0
2000-06-03,281500.0
2000-06-10,283500.0
2000-06-17,287000.0
2000-06-24,291000.0
2000-07-01,288750.0
2000-07-08,291000.0
2000-07-15,293250.0
2000-07-22,294250.0
2000-07-29,298500.0
2000-08-05,301750.0
2000-08-12,304750.0
2000-08-19,309250.0
2000-08-26,312750.0
2000-09-02,311500.0
2000-09-09,310000.0
2000-09-16,308250.0
2000-09-23,302250.0
2000-09-30,300000.0
2000-10-07,300000.0
2000-10-14,297000.0
2000-10-21,298750.0
2000-10-28,301000.0
2000-11-04,306500.0
2000-11-11,311250.0
2000-11-18,320500.0
2000-11-25,334250.0
2000-12-02,336000.0
2000-12-09,336750.0
2000-12-16,342250.0
2000-12-23,344250.0
2000-12-30,348000.0
2001-01-06,352000.0
2001-01-13,343000.0
2001-01-20,337750.0
2001-01-27,340000.0
2001-02-03,349750.0
2001-02-10,361500.0
2001-02-17,365250.0
2001-02-24,371250.0
2001-03-03,373250.0
2001-03-10,380250.0
2001-03-17,389000.0
2001-03-24,387000.0
2001-03-31,388000.0
2001-04-07,389250.0
2001-04-14,386750.0
2001-04-21,392250.0
2001-04-28,396750.0
2001-05-05,392500.0
2001-05-12,394250.0
2001-05-19,394750.0
2001-05-26,394500.0
2001-06-02,400750.0
2001-06-09,406000.0
2001-06-16,404000.0
2001-06-23,398000.0
